"logFC" "t" "P.Value" "adj.P.Val" "B"
"Tle4" -1.68297328659602 -15.9346491918539 2.79783359936005e-21 2.82574474370883e-17 38.2545400245974
"Brinp3" -1.96111990133553 -15.7026310826896 5.17911134977905e-21 2.82574474370883e-17 37.6415012488395
"Ipcef1" -2.1021107994886 -15.6933772630273 5.30855672310508e-21 2.82574474370883e-17 37.5427416641316
"Rab26" -1.92348616974371 -15.1895629506816 2.06596066454862e-20 8.24783146304421e-17 36.2532989170041
"Sstr2" -1.96517766476915 -14.7009201940409 7.93945373006167e-20 2.5357027323071e-16 34.8797045454722
"Lrrtm2" -1.39825910391867 -14.2723528615645 2.64714297417251e-19 6.7563460238127e-16 33.7312546336202
"Rassf2" 1.03202931878645 14.232799679803 2.96163956206957e-19 6.7563460238127e-16 33.6273092859034
"Nxph3" -3.44437877781098 -14.0309751047495 5.26749475317537e-19 1.05145779641822e-15 33.011658401302
"Mmp17" -1.61231316140408 -13.7410109285092 1.21535702107076e-18 1.94080362694789e-15 32.2301105945593
"Grik3" -2.23284015036831 -13.5192584391283 2.31981379668208e-18 3.36773695629238e-15 31.5949461203076
"Slc12a4" 1.03355560336156 13.2244117709924 5.53218443893904e-18 7.36195444211813e-15 30.7357510204907
"Slc15a5" -4.68446869831355 -13.7746240575322 1.10250526528374e-18 1.94080362694789e-15 30.731250575749
"Ociad2" -1.43960160447234 -13.007282612805 1.05658744013283e-17 1.20518891653437e-14 30.0957323766191
"Sema3e" -1.76493913819436 -12.7691084164266 2.16346522159316e-17 2.15927350772632e-14 29.3809086374474
"Myh2" -2.84229127739353 -13.1414639600267 7.07849487396527e-18 8.6951142032578e-15 29.3661451756975
"Myh3" -3.61899048169003 -12.8366128441287 1.76447689659619e-17 1.87846210411631e-14 28.9579534167807
"Fezf2" -3.5122118807452 -12.6517631674982 3.08783925372377e-17 2.90057088486558e-14 28.8238841669857
"Tmem178a" -1.11829013840386 -12.2980614615068 9.12030840581166e-17 8.09123360735591e-14 27.9156935238172
"Timp3" 1.51602123529577 12.2406078469436 1.08911092991225e-16 9.15369075777302e-14 27.7521995379483
"B3galt2" -1.99015944766261 -12.2065872018407 1.21001615713153e-16 9.66137400661672e-14 27.6421467518374
"Sema3c" -2.27277686567218 -12.0921385154205 1.72611742497661e-16 1.25292587088416e-13 27.2900364116907
"Bhmt" -4.51704207576264 -12.1318360056769 1.52571768652827e-16 1.16019932077e-13 26.5953676810715
"Mmp14" 1.96707047039777 11.8501655342487 3.67850485306437e-16 2.44758516660771e-13 26.586314138148
"Lcat" 2.08228913620501 11.850678498917 3.67257990279926e-16 2.44758516660771e-13 26.4542159372237
"Kcna6" -1.10760355519446 -11.7462246220661 5.10306491880018e-16 3.13426321878154e-13 26.1899575418287
"Vim" 2.13762370729688 11.5824318511857 8.57190668307345e-16 5.069806586e-13 25.6737989997833
"Itga8" -1.46534117615059 -11.5549648878483 9.35398416054779e-16 5.13816141782642e-13 25.6594423549777
"Sema3b" 1.00183598083548 11.4595590233826 1.26775518877235e-15 6.53057503532442e-13 25.3601937968357
"Rprm" -4.13403077452246 -11.5459847979935 9.62505303349008e-16 5.13816141782642e-13 25.2860763862911
"Upk1b" 4.25585953257355 11.7639662517245 4.82528623975332e-16 3.08219983850483e-13 25.2671811724667
"Slc38a3" 0.811105211122712 11.4168255637805 1.45325508439861e-15 7.25219701336294e-13 25.133181045794
"Stat5b" 0.784028161122003 11.3900275526031 1.58337817520456e-15 7.66211093328532e-13 25.1050401816704
"Sulf1" -2.80648941987836 -11.3491034945068 1.80524620545536e-15 8.45270973332237e-13 25.022767908665
"Eepd1" -1.16774016120156 -11.3410275692676 1.8526197048424e-15 8.45270973332237e-13 24.9840317074402
"Igfbp2" 2.31542697490674 11.315857939509 2.00849649147286e-15 8.90935568675834e-13 24.8647956075199
"Drd5" -4.0459254019758 -11.5450815434764 9.65275487098707e-16 5.13816141782642e-13 24.7138366602349
"Traip" -1.32779239137472 -11.1843238907947 3.06756158590563e-15 1.25604848629044e-12 24.4960186663097
"Cntnap4" -1.58218968292229 -11.2015193361492 2.90198127259054e-15 1.25247943086482e-12 24.4660692708779
"Stat3" 0.600795123265144 11.1890864215836 3.02076656636203e-15 1.25604848629044e-12 24.4179849104945
"Camk2d" 0.848486691273854 11.0860002612429 4.21603299492472e-15 1.64209343648665e-12 24.0622210055828
"Kcnf1" -1.12309612677951 -11.0781887069061 4.32413702281158e-15 1.644098669459e-12 24.0618800237894
"Arhgap25" -1.16866776658521 -11.0454674898919 4.80832726114527e-15 1.7856785589123e-12 24.0541337123517
"Lcp1" -1.52909999632034 -10.9350267728534 6.88664875812096e-15 2.48735161359177e-12 23.6558797924096
"Neto2" -0.988706331803337 -10.9296136749208 7.00925684837056e-15 2.48735161359177e-12 23.6009668536032
